track id, amazement, solemnity, tenderness, nostalgia, calmness, power, joyful_activation, tension, sadness
1,7,16,10,14,30,1,4,3,15
2,5,8,20,16,35,2,1,1,5
3,8,16,6,8,3,13,19,11,7
4,5,6,22,19,32,1,0,1,6
5,2,13,14,23,14,2,3,8,14
6,5,10,10,14,26,3,11,6,6
7,16,4,7,4,5,10,38,7,1
8,4,13,15,14,22,2,9,7,7
9,5,12,14,18,21,2,3,1,16
10,13,10,1,2,1,24,30,10,1
11,2,14,11,18,17,2,3,6,18
12,16,3,8,8,8,4,38,4,2
13,1,15,7,19,18,7,1,11,12
14,6,10,15,16,19,4,7,8,6
15,3,15,13,20,16,1,1,4,20
16,4,12,2,2,1,31,5,28,6
17,4,7,25,19,28,0,0,2,8
18,19,9,3,6,6,5,41,2,0
19,5,16,16,13,22,2,2,5,10
20,4,19,7,14,23,2,3,9,13
21,7,10,18,12,28,1,9,2,4
22,9,12,20,5,18,3,17,4,3
23,7,22,2,4,2,17,28,5,4
24,5,11,0,0,4,21,27,20,4
25,9,21,7,12,12,2,11,10,7
26,12,12,1,9,1,15,29,10,3
27,4,28,0,2,1,30,2,16,8
28,16,4,13,3,21,0,34,2,0
29,7,13,13,13,20,1,6,4,16
30,22,17,1,1,5,19,26,1,0
31,4,9,13,24,23,2,1,4,12
32,3,10,9,16,19,1,5,2,13
33,0,5,12,12,23,0,2,2,11
34,6,3,3,3,7,1,16,2,1
35,2,1,4,3,12,0,1,2,3
36,2,2,5,6,9,2,0,3,3
37,3,4,8,6,6,1,0,4,5
38,1,4,5,6,9,0,1,1,6
39,10,5,0,0,0,9,12,3,0
40,5,5,0,1,0,8,10,6,0
41,3,7,4,6,6,1,3,2,3
42,3,3,4,3,11,2,0,2,2
43,4,4,3,4,1,3,5,4,5
44,3,6,4,3,8,2,4,1,3
45,1,4,3,7,9,1,1,1,9
46,3,2,8,7,9,0,1,0,2
47,1,3,4,8,7,1,1,2,11
48,1,8,1,6,4,1,2,6,5
49,0,10,2,2,2,5,1,8,11
50,5,6,3,2,0,6,12,5,1
51,2,3,4,12,6,0,0,2,7
52,4,6,1,1,1,4,9,7,1
53,4,6,0,3,0,5,6,12,2
54,3,3,3,0,8,5,15,2,2
55,2,1,7,2,10,1,4,5,3
56,3,3,6,5,13,1,2,0,3
57,4,12,4,2,2,1,1,4,7
58,1,6,2,3,2,8,3,8,4
59,4,4,0,2,0,8,10,5,2
60,2,5,5,9,9,0,0,2,9
61,3,3,0,3,3,1,10,6,2
62,3,0,2,4,0,2,13,5,0
63,1,5,4,7,8,0,0,3,5
64,4,1,1,1,4,2,10,4,0
65,4,1,0,0,0,5,12,5,0
66,2,4,0,3,1,3,4,8,1
67,3,3,5,1,8,2,4,4,1
68,0,4,5,8,10,1,1,2,4
69,2,8,27,23,25,2,3,3,0
70,4,7,1,9,8,1,0,3,5
71,3,5,1,3,4,3,11,2,0
72,5,6,0,3,6,4,6,6,3
73,3,3,3,6,5,0,3,4,0
74,5,4,1,3,4,4,6,8,2
75,3,2,2,3,2,4,6,8,1
76,0,7,0,3,2,2,6,8,4
77,1,2,7,6,8,1,5,3,0
78,2,3,2,3,1,4,11,7,0
79,3,2,1,5,4,3,10,3,2
80,4,6,1,4,5,2,11,1,0
81,2,5,1,0,3,5,12,4,0
82,1,1,8,9,13,0,0,0,3
83,3,2,4,9,3,1,7,3,7
